,◦ Enrolled nurses (registered with the NMBA) , - ,,0.00,0.00,0.00,
,◦ Personal care workers  / assistant in nursing, - ,,0.00,0.00,0.00,
,◦ Care management staff, - ,,0.00,0.00,0.00,
,◦ Allied health , - ,,0.00,0.00,0.00,calculated
, - Physiotherapist , - ,,0.00,0.00,0.00,
, - Occupational therapist, - ,,0.00,0.00,0.00,
, - Speech pathologist, - ,,0.00,0.00,0.00,
, - Podiatrist, - ,,0.00,0.00,0.00,
, - Dietetic care, - ,,0.00,0.00,0.00,Linked to Food & Nutrition tab
, - Other allied health, - ,,0.00,0.00,0.00,
, - Allied health assistants, - ,,0.00,0.00,0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer , - ,,0.00,0.00,0.00,
,Total Employee Direct Care Worked Hours, - ,,0.00,0.00,0.00,calculated
,Agency Staff Worked Hours - Direct Care Detail,,,,,,
,◦ Registered nurses, - ,,0.00,0.00,0.00,calculated
," - Morning Shift (e.g., 7am-3pm)", - ,,0.00,0.00,0.00,
," - Afternoon Shift(e.g.,3pm-11pm)", - ,,0.00,0.00,0.00,
," - Overnight Shift(e.g.,11pm-7am)", - ,,0.00,0.00,0.00,
,◦ Enrolled nurses (registered with the NMBA) , - ,,0.00,0.00,0.00,
,◦ Personal care workers / assistant in nursing, - ,,0.00,0.00,0.00,
,◦ Care management staff, - ,,0.00,0.00,0.00,
,◦ Allied health , - ,,0.00,0.00,0.00,calculated
, - Physiotherapist , - ,,0.00,0.00,0.00,
, - Occupational therapist, - ,,0.00,0.00,0.00,
, - Speech pathologist, - ,,0.00,0.00,0.00,
, - Podiatrist, - ,,0.00,0.00,0.00,
, - Dietetic care, - ,,0.00,0.00,0.00,Linked to Food & Nutrition tab
, - Other allied health, - ,,0.00,0.00,0.00,
, - Allied health assistants, - ,,0.00,0.00,0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer , - ,,0.00,0.00,0.00,
,Total Agency Staff Worked Hours - Direct Care, - ,,0.00,0.00,0.00,calculated
,Total Direct Care Labour Worked Hours, - ,,0.00,0.00,0.00,calculated
,,,,,,,
,Non-worked hours (for all categories above),,,,,,
,◦ Non-worked hours, - ,,0.00,0.00,0.00,
,,,,,,,
,Labour - Hourly Rates of Pay,,,,,,
,◦ Registered nurses - Highest Rate,$0.00,,,,,
,◦ Registered nurses - Average Rate,$0.00,,,,,
,◦ Registered nurses - Lowest Rate,$0.00,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Highest Rate,$0.00,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Average Rate,$0.00,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Lowest Rate,$0.00,,,,,
,◦ Personal care workers / assistant in nursing - Highest Rate,$0.00,,,,,
,◦ Personal care workers / assistant in nursing - Average Rate,$0.00,,,,,
,◦ Personal care workers / assistant in nursing - Lowest Rate,$0.00,,,,,
,,,,,,,
,Bed Days,,,,,,
,◦ Occupied bed days, -   ,, - , - , - ,
,◦ Available bed days, -   ,, - , - , - ,
,,,,,,,
,Direct Care Minutes (worked) Per Occupied Bed Day,,,,,,
,◦ Registered nurses care minutes per occupied bed day, -   ,, -   , -   , -   ,calculated
,◦ Enrolled nurses (registered with the NMBA) care minutes per occupied bed day, -   ,, -   , -   , -   ,calculated
,◦ Personal care workers / assistant in nursing care minutes per occupied bed day, -   ,, -   , -   , -   ,calculated
,"Total direct care minutes (worked) of Registered nurses, Enrolled nurses(registered with the NMBA) and Personal care workers/Assistant in nursing per occupied bed day", - ,, - , - , - ,calculated
,,,,,,,
,Outbreak Management Expenses,,,,,,
,"Outbreak Management Expenses relate to all outbreak management expenses and is not just limited to direct care expenses.
The values reported in this section are independent of the care labour costs reported above and are not required to add to a total. Do not reduce the care labour expenses by the amounts reported in the Outbreak Management Expense section.",,,,,,
,◦ Infection Prevention and Control (IPC) lead costs, -   ,, - , - , - ,
,◦ Residential Support costs, -   ,, - , - , - ,
,◦ Preventative measures costs, -   ,, - , - , - ,
,◦ Employee and agency labour costs, -   ,, - , - , - ,
,◦ Other outbreak costs, -   ,, - , - , - ,
,"Explanation required if (Other outbreak costs/Total outbreak management costs) > 30% (service level)
You have reported other outbreak costs to be greater than 30% of total outbreak management costs. Please provide a detailed breakdown listing the different expenses reported in this category (description and amount)",,, Explanation , Explanation , Explanation ,
,Total Outbreak Management Costs, - ,, - , - , - ,
